source,role_type,job_title,company,location,url,is_priority_company,date_posted,date_seen,notes
linkedin,Intern,Mechanical Engineering Intern,Mariana Minerals,"San Francisco, CA",https://www.linkedin.com/jobs/view/mechanical-engineering-intern-at-mariana-minerals-4400783835?position=1&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=S0GjFEBNg2hNu6j6eAeU1g%3D%3D,False,2026-04-14,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Engineer Intern,Onto Innovation,"Milpitas, CA",https://www.linkedin.com/jobs/view/mechanical-engineer-intern-at-onto-innovation-4410904120?position=2&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=16e2Jp%2F3Vdfic8q78gp%2FGA%3D%3D,False,2026-05-05,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Engineering Intern - Fall 2026,Pyka,"Alameda, CA",https://www.linkedin.com/jobs/view/mechanical-engineering-intern-fall-2026-at-pyka-4416450150?position=3&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=7xBtFO0h%2B9aJbpYZ9U2Vig%3D%3D,False,2026-05-18,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Design Intern (Fall 2026),Peak Energy,"Burlingame, CA",https://www.linkedin.com/jobs/view/mechanical-design-intern-fall-2026-at-peak-energy-4398345426?position=4&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=MuY%2FQ5eNfICjUDjPzXukYQ%3D%3D,False,2026-04-07,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,"Internship, Mechanical Engineering (Summer 2026)",Pivotal,"Palo Alto, CA",https://www.linkedin.com/jobs/view/internship-mechanical-engineering-summer-2026-at-pivotal-4415730169?position=5&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=QTAyUmyVcAvGq0yZKq3iRw%3D%3D,False,2026-05-20,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,"2026 Summer Mechanical Engineer Intern - Undergrad (Santa Clara, CA)",Applied Materials,"Santa Clara, CA",https://www.linkedin.com/jobs/view/2026-summer-mechanical-engineer-intern-undergrad-santa-clara-ca-at-applied-materials-4405593472?position=6&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=8kGRjeTuFi79YjSchtjkYw%3D%3D,True,2026-04-28,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Engineer Intern (Fall 2026),Zipline,"South San Francisco, CA",https://www.linkedin.com/jobs/view/mechanical-engineer-intern-fall-2026-at-zipline-4418183083?position=7&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=vZqRpDoUDgBGV%2BJXomNohg%3D%3D,False,2026-05-22,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Engineer Intern (Fall 2026),Astranis Space Technologies,San Francisco Bay Area,https://www.linkedin.com/jobs/view/mechanical-engineer-intern-fall-2026-at-astranis-space-technologies-4407319312?position=8&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=KWzsW5Hfpo4uf1ABmrJi%2Fg%3D%3D,True,2026-05-21,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mechanical Design Engineering Internship,Amperesand,San Francisco Bay Area,https://www.linkedin.com/jobs/view/mechanical-design-engineering-internship-at-amperesand-4392495208?position=9&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=4Jex9TBNzbtMPLQnIqyhLg%3D%3D,False,2026-05-11,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,Mech. Internship (16 months),Novatrend Engineering Group Ltd.,"Richmond, CA",https://www.linkedin.com/jobs/view/mech-internship-16-months-at-novatrend-engineering-group-ltd-4397913944?position=10&pageNum=0&refId=0ABufRlt2C7jth2%2BwJLsvw%3D%3D&trackingId=YIlpb9WVYdmzVTrDcf9NPg%3D%3D,True,2026-04-06,2026-05-22T19:51:09,LinkedIn guest search
linkedin,Intern,"Manufacturing Process & Equipment Engineering Intern, Summer 2026",CelLink Corporation,"San Carlos, CA",https://www.linkedin.com/jobs/view/manufacturing-process-equipment-engineering-intern-summer-2026-at-cellink-corporation-4416957529?position=1&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=KwuDFcf0YY7nlkMkvk11Qg%3D%3D,False,2026-05-19,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,Electrical Engineer Intern (Fall 2026),Zipline,"South San Francisco, CA",https://www.linkedin.com/jobs/view/electrical-engineer-intern-fall-2026-at-zipline-4418186022?position=2&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=7NnrGpduAgimCCw6Mx7sEg%3D%3D,False,2026-05-22,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,"Electrical Engineer Intern, Robotics and Surgery Engineering",Neuralink,"San Francisco, CA",https://www.linkedin.com/jobs/view/electrical-engineer-intern-robotics-and-surgery-engineering-at-neuralink-4416736157?position=3&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=YZCXKhLo0T6z6gQnK2pIhQ%3D%3D,True,2026-05-21,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,"Electrical Engineer Intern, Robotics and Surgery Engineering",Neuralink,"South San Francisco, CA",https://www.linkedin.com/jobs/view/electrical-engineer-intern-robotics-and-surgery-engineering-at-neuralink-4416719251?position=4&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=rhhl5VL4RVxJNqWIF0%2FHmQ%3D%3D,True,2026-05-21,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,Director of Student Services (0322U) - Mechanical Engineering,"University of California, Berkeley","Berkeley, CA",https://www.linkedin.com/jobs/view/director-of-student-services-0322u-mechanical-engineering-at-university-of-california-berkeley-4397503309?position=5&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=IRknuR8zlazF7y2gUKimkQ%3D%3D,False,2026-04-03,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,Director of Student Services (0322U) - Mechanical Engineering,Inside Higher Ed,"Berkeley, CA",https://www.linkedin.com/jobs/view/director-of-student-services-0322u-mechanical-engineering-at-inside-higher-ed-4411665592?position=6&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=fyB31stqopIcK4qLFPeBMQ%3D%3D,False,2026-05-07,2026-05-22T19:51:11,LinkedIn guest search
linkedin,Intern,"Summer 2026 Internship - Electrical Engineering, Target Area",Pacific Fusion,"San Leandro, CA",https://www.linkedin.com/jobs/view/summer-2026-internship-electrical-engineering-target-area-at-pacific-fusion-4360980259?position=7&pageNum=2&refId=T2iNJunGWpkXVGFTrw8rRQ%3D%3D&trackingId=OouMmtLLxiV0OOjhJ7wZnw%3D%3D,False,2026-05-13,2026-05-22T19:51:11,LinkedIn guest search
